section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,68,2023-05-12 10:20:08.181476074,2023-05-12 10:20:08.277487074,96,395.581,410.589,-12.013876984405195,8.217273789321656
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,69,2023-05-12 10:20:08.301453074,2023-05-12 10:20:08.697476074,396,420.464,415.033,-10.130869520389563,7.902655341312989
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,70,2023-05-12 10:20:08.733480074,2023-05-12 10:20:08.813598074,80,362.043,448.998,-14.485639938417656,5.338138319970431
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,71,2023-05-12 10:20:09.97429074,2023-05-12 10:20:09.305723074,208,545.532,326.67,-0.7043397964618335,14.579789910740985
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,72,2023-05-12 10:20:09.401448074,2023-05-12 10:20:09.461531074,60,569.3,299.733,1.1263576899913803,16.604028055025374
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,73,2023-05-12 10:20:09.489479074,2023-05-12 10:20:09.589524074,100,514.386,314.592,-3.100397614357701,15.47947251351193
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,74,2023-05-12 10:20:09.609601074,2023-05-12 10:20:10.137471074,527,582.882,313.246,2.1667155574361177,15.586339870836497
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,75,2023-05-12 10:20:10.169476074,2023-05-12 10:20:10.497431074,327,542.298,328.162,-0.9519795984210506,14.467311029930055
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,76,2023-05-12 10:20:10.749827074,2023-05-12 10:20:11.53530074,303,605.563,327.431,3.8978852487458586,14.513948516215931
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,77,2023-05-12 10:20:11.309659074,2023-05-12 10:20:11.673450074,363,554.013,351.403,-0.0545755232870137,12.722598757151475
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,78,2023-05-12 10:20:11.729524074,2023-05-12 10:20:11.845447074,115,583.766,327.015,2.226908869284984,14.55181666996428
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,79,2023-05-12 10:20:11.865466074,2023-05-12 10:20:12.397484074,532,547.541,338.584,-0.5492152371355712,13.685046060051002
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,80,2023-05-12 10:20:12.933464074,2023-05-12 10:20:13.57483074,124,546.093,355.565,-0.6580516971605642,12.409546286297696
