section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,58,1683879604569488074,1683879604681543074,112,571.019,327.667,1.249374209314089,14.504899591800717
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,59,1683879604749486074,1683879605077462074,327,465.425,290.363,-6.906451521240614,17.266501145753715
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,60,1683879605597522074,1683879605661474074,63,349.597,277.998,-15.91739351897729,18.015432438261303
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,61,1683879605689509074,1683879605909497074,219,449.821,283.776,-8.128056813640505,17.744623498229377
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,62,1683879605937545074,1683879606041560074,104,465.569,315.838,-6.850185731584865,15.356674714818789
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,63,1683879606109477074,1683879606409477074,300,552.768,328.224,-0.1495503396562868,14.463559012691016
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,64,1683879606465540074,1683879607293494074,827,593.089,305.565,2.9580041599653892,16.160679000886855
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,65,1683879607393661074,1683879607645575074,251,470.408,326.305,-6.462536845121514,14.575822331276184
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,66,1683879607693523074,1683879607765504074,71,438.668,278.732,-9.005118386636543,18.10956876474795
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,67,1683879608057483074,1683879608145466074,87,392.804,375.438,-12.287050268854298,10.833718019019674
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,68,1683879608181476074,1683879608277487074,96,395.581,410.589,-12.013876984405197,8.217273789321656
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,69,1683879608301453074,1683879608697476074,396,420.464,415.033,-10.130869520389565,7.902655341312989
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,70,1683879608733480074,1683879608813598074,80,362.043,448.998,-14.485639938417656,5.338138319970431
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,71,1683879609097429074,1683879609305723074,208,545.532,326.67,-0.7043397964618335,14.579789910740983
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,72,1683879609401448074,1683879609461531074,60,569.3,299.733,1.1263576899913805,16.604028055025374
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,73,1683879609489479074,1683879609589524074,100,514.386,314.592,-3.100397614357701,15.47947251351193
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,74,1683879609609601074,1683879610137471074,527,582.882,313.246,2.1667155574361177,15.586339870836495
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,75,1683879610169476074,1683879610497431074,327,542.298,328.162,-0.9519795984210506,14.467311029930057
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,76,1683879610749827074,1683879611053530074,303,605.563,327.431,3.8978852487458586,14.513948516215933
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,77,1683879611309659074,1683879611673450074,363,554.013,351.403,-0.05457552328701376,12.722598757151477
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,78,1683879611729524074,1683879611845447074,115,583.766,327.015,2.226908869284984,14.55181666996428
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,79,1683879611865466074,1683879612397484074,532,547.541,338.584,-0.5492152371355712,13.685046060051002
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,80,1683879612933464074,1683879613057483074,124,546.093,355.565,-0.6580516971605642,12.409546286297696
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,81,1683879613077486074,1683879613193524074,116,590.838,357.338,2.750550687418849,12.273138835602506
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,82,1683879613217652074,1683879614117511074,899,574.83,314.882,1.5466886831105027,15.464888236346898
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,83,1683879614277448074,1683879614385562074,108,465.112,263.316,-6.98583542417281,19.295277746774108
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,84,1683879614517495074,1683879614577455074,59,413.641,311.781,-10.849275191173989,15.60616302800443
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,85,1683879614645588074,1683879614805464074,159,505.203,293.314,-3.826809737746,17.07346498792703
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,86,1683879614825490074,1683879615001455074,175,509.501,280.749,-3.5066817811014235,18.019653698312318
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,87,1683879615029498074,1683879615213498074,184,546.776,250.62,-0.6193042304178875,20.297942096102737
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,88,1683879615242050074,1683879615413656074,171,513.188,273.237,-3.2275606576418396,18.58607700306267
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,89,1683879615465461074,1683879615677905074,212,443.28,292.914,-8.612846042329155,17.05287156376152
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,90,1683879615705471074,1683879615909615074,204,509.249,303.927,-3.504438148394188,16.278281734408587
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,91,1683879616245511074,1683879616513562074,268,613.73,299.3,4.556916314752325,16.62249219095351
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,92,1683879616541515074,1683879616757505074,215,586.686,314.633,2.4584778463747936,15.481239359435698
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,93,1683879616793673074,1683879617057483074,263,616.289,357.386,4.6896400088766,12.261488662577406
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,94,1683879617241632074,1683879617357738074,116,476.395,362.462,-5.959482184377211,11.869509633104032
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,95,1683879617389477074,1683879617737486074,348,567.062,310.927,0.950444509306284,15.76301105179907
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,96,1683879617769494074,1683879617837490074,67,624.76,326.261,5.37141489396871,14.592698347660392
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,97,1683879617869528074,1683879617957491074,87,628.538,328.848,5.657733549587785,14.396456719639504
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,98,1683879618037473074,1683879618097509074,60,661.818,284.962,8.304421886335293,17.66088416132924
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,99,1683879618117465074,1683879618525555074,408,613.829,320.425,4.539415810442189,15.03631657028921
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,100,1683879618549448074,1683879618981695074,432,635.584,312.228,6.223225882206812,15.638781897890187
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,101,1683879619229596074,1683879619621640074,392,523.42,311.596,-2.4076549842026354,15.707688240293765
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,102,1683879619645501074,1683879619741516074,96,561.696,290.987,0.5409938117152631,17.262013363035855
